start_date,end_date,category,start,stop,miles,purpose,reject_reason
08-12-2016 18:56,08-12-2016 19:05,Business,Westpark Place,Whitebridge,1.8,,Missing required fields
8/15/2016 9:05,8/15/2016 9:52,Business,R?walpindi,Unknown Location,15.6,,Missing required fields
8/15/2016 15:20,8/15/2016 15:47,Business,Unknown Location,Unknown Location,14.1,,Missing required fields
8/15/2016 16:52,8/15/2016 17:30,Business,Unknown Location,Unknown Location,15.7,,Missing required fields
8/16/2016 7:58,8/16/2016 8:11,Business,Unknown Location,Unknown Location,7.9,,Missing required fields
8/16/2016 8:16,8/16/2016 8:23,Business,Unknown Location,Unknown Location,2.7,,Missing required fields
8/16/2016 8:46,8/16/2016 8:53,Business,Unknown Location,Unknown Location,5.5,,Missing required fields
8/16/2016 10:06,8/16/2016 10:27,Business,Unknown Location,Islamabad,5.7,,Missing required fields
8/16/2016 10:31,8/16/2016 10:38,Business,Islamabad,Islamabad,1.2,,Missing required fields
8/16/2016 15:13,8/16/2016 15:36,Business,Unknown Location,Unknown Location,16.2,,Missing required fields
8/17/2016 10:17,8/17/2016 10:41,Business,Unknown Location,Unknown Location,2.6,,Missing required fields
8/17/2016 10:57,8/17/2016 11:20,Business,Unknown Location,Unknown Location,12.1,,Missing required fields
8/17/2016 14:45,8/17/2016 14:50,Business,Unknown Location,R?walpindi,1.4,,Missing required fields
8/17/2016 15:32,8/17/2016 15:47,Business,R?walpindi,Islamabad,6.4,,Missing required fields
8/17/2016 16:29,8/17/2016 16:50,Business,Islamabad,Unknown Location,7.3,,Missing required fields
8/17/2016 16:54,8/17/2016 17:00,Business,Unknown Location,Unknown Location,5.3,,Missing required fields
8/17/2016 17:05,8/17/2016 17:34,Business,Unknown Location,Unknown Location,5.5,,Missing required fields
8/19/2016 8:24,8/19/2016 8:45,Business,Unknown Location,Noorpur Shahan,7.6,,Missing required fields
8/19/2016 8:54,8/19/2016 9:07,Business,Noorpur Shahan,Islamabad,3.3,,Missing required fields
8/19/2016 9:27,8/19/2016 9:47,Business,Islamabad,R?walpindi,6.5,,Missing required fields
8/19/2016 10:57,8/19/2016 11:06,Business,R?walpindi,Unknown Location,2.0,,Missing required fields
8/19/2016 12:07,8/19/2016 12:24,Business,Unknown Location,Islamabad,5.7,,Missing required fields
8/19/2016 15:51,8/19/2016 16:06,Business,Islamabad,Islamabad,3.2,,Missing required fields
8/19/2016 17:12,8/19/2016 17:52,Business,Islamabad,Unknown Location,12.5,,Missing required fields
8/21/2016 14:05,8/21/2016 14:34,Business,Unknown Location,Unknown Location,7.7,,Missing required fields
8/21/2016 16:30,8/21/2016 17:02,Business,Unknown Location,Islamabad,12.2,,Missing required fields
8/21/2016 18:10,8/21/2016 18:17,Business,Islamabad,Islamabad,1.4,,Missing required fields
8/21/2016 18:48,8/21/2016 19:24,Business,Islamabad,Unknown Location,20.2,,Missing required fields
8/22/2016 10:00,8/22/2016 10:44,Business,Unknown Location,Islamabad,9.8,,Missing required fields
8/22/2016 11:07,8/22/2016 11:23,Business,Islamabad,Unknown Location,6.3,,Missing required fields
8/22/2016 12:36,8/22/2016 12:49,Business,Unknown Location,Islamabad,4.9,,Missing required fields
8/22/2016 13:02,8/22/2016 13:11,Business,Islamabad,Islamabad,1.5,,Missing required fields
8/22/2016 14:07,8/22/2016 14:31,Business,Islamabad,Unknown Location,10.9,,Missing required fields
8/22/2016 15:14,8/22/2016 15:49,Business,Unknown Location,Unknown Location,19.0,,Missing required fields
8/22/2016 15:59,8/22/2016 17:16,Business,Unknown Location,Unknown Location,19.0,,Missing required fields
8/22/2016 19:58,8/22/2016 20:50,Business,Unknown Location,R?walpindi,7.9,,Missing required fields
8/22/2016 20:53,8/22/2016 21:31,Business,R?walpindi,R?walpindi,4.1,,Missing required fields
8/22/2016 22:31,8/22/2016 23:00,Business,R?walpindi,Unknown Location,18.7,,Missing required fields
8/23/2016 8:10,8/23/2016 8:25,Business,Unknown Location,Noorpur Shahan,8.7,,Missing required fields
8/23/2016 9:35,8/23/2016 10:09,Business,Noorpur Shahan,Unknown Location,7.5,,Missing required fields
8/23/2016 12:59,8/23/2016 13:15,Business,Unknown Location,Noorpur Shahan,7.7,,Missing required fields
8/23/2016 13:19,8/23/2016 13:30,Business,Noorpur Shahan,Islamabad,4.4,,Missing required fields
8/23/2016 13:49,8/23/2016 14:04,Business,Islamabad,Unknown Location,5.0,,Missing required fields
8/23/2016 15:07,8/23/2016 15:12,Business,Unknown Location,Unknown Location,1.9,,Missing required fields
8/23/2016 15:15,8/23/2016 17:16,Business,Unknown Location,Unknown Location,7.9,,Missing required fields
8/23/2016 17:42,8/23/2016 18:31,Business,Unknown Location,Unknown Location,17.7,,Missing required fields
8/24/2016 12:05,8/24/2016 12:56,Business,Unknown Location,Unknown Location,25.2,,Missing required fields
8/24/2016 13:01,8/24/2016 15:25,Business,Unknown Location,Unknown Location,96.2,,Missing required fields
